District,Households,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise,State/UT
Mahoba,246823.0,198298.0,13682.562000000002,116599.22399999999,46798.328,48525.0,2329.2000000000003,18779.175,41343.299999999996,Uttar Pradesh
Banda,445625.0,378056.0,10963.624,216626.088,106989.84800000001,67569.0,2364.9150000000004,27770.859,51082.16399999999,Uttar Pradesh
Chitrakoot,230795.0,207237.0,4144.74,98230.33799999999,42898.059,23558.0,447.602,7750.581999999999,16867.528,Uttar Pradesh
Fatehpur,636540.0,558807.0,15087.789000000002,295050.096,67056.84,77733.0,2021.0580000000002,28139.346000000005,48894.057,Uttar Pradesh
Pratapgarh,752786.0,711085.0,12088.445000000002,360520.09500000003,126573.13000000002,41701.0,667.216,20308.387000000002,22810.447,Uttar Pradesh
Kaushambi,380620.0,349856.0,3848.416,185073.82400000002,69971.2,30764.0,522.988,10828.928000000002,22611.54,Uttar Pradesh
Allahabad,1248570.0,983266.0,17698.788,516214.65,116025.388,265304.0,7163.2080000000005,123896.96800000001,155733.44800000003,Uttar Pradesh
Bara Banki,714908.0,635840.0,36242.880000000005,364972.16,116358.72,79068.0,3399.9239999999995,32338.811999999998,57008.028,Uttar Pradesh
Faizabad,589666.0,510378.0,22456.632,281728.656,70432.164,79288.0,3488.6720000000005,34014.551999999996,40754.032,Uttar Pradesh
Ambedkar Nagar,566590.0,501559.0,23071.714,244760.792,78243.204,65031.0,1885.899,19834.454999999998,54626.04,Uttar Pradesh
Sultanpur,889628.0,839737.0,99928.70300000001,427426.13300000003,110845.284,49891.0,4390.408,19706.945,33826.098,Uttar Pradesh
Bahraich,760262.0,698520.0,64962.36000000001,359039.28,101285.4,61742.0,3025.358,22288.862,47047.404,Uttar Pradesh
Shrawasti,257274.0,248770.0,24628.23,115429.28,34579.030000000006,8504.0,833.392,3571.68,4626.176,Uttar Pradesh
Balrampur,445838.0,410070.0,35266.02,204214.86,53719.170000000006,35768.0,1573.7920000000001,10623.096,26074.872000000003,Uttar Pradesh
Gonda,726372.0,673578.0,57927.708,415597.626,70725.69,52794.0,3009.2580000000003,22173.48,41971.23,Uttar Pradesh
Siddharthnagar,513513.0,480165.0,32651.22,269852.73000000004,49937.16,33348.0,3334.8,12505.5,21009.24,Uttar Pradesh
Basti,545025.0,513960.0,34435.32,291415.32,52423.92,31065.0,1273.6649999999997,12581.325,22335.735000000004,Uttar Pradesh
Sant Kabir Nagar,352151.0,324972.0,36721.836,166060.692,25672.788,27179.0,1195.8760000000002,8833.175000000001,20955.009,Uttar Pradesh
Mahrajganj,607079.0,573046.0,37821.036,256724.60799999998,59596.78400000001,34033.0,1769.7160000000001,12047.681999999999,15961.476999999999,Uttar Pradesh
Gorakhpur,951128.0,761958.0,76195.8,307069.07399999996,99816.498,189170.0,12863.560000000001,67533.69,136391.57,Uttar Pradesh
Kushinagar,785099.0,742324.0,75717.048,322168.616,91305.85200000001,42775.0,2737.6,16211.725,21259.175000000003,Uttar Pradesh
Deoria,665706.0,597778.0,52604.46400000001,307257.892,99828.92599999999,67928.0,3939.8239999999996,26695.703999999998,39669.952,Uttar Pradesh
Azamgarh,971458.0,891024.0,79301.13600000001,416999.23199999996,165730.46400000004,80434.0,2976.0580000000004,25417.144,64668.936,Uttar Pradesh
Mau,451528.0,352207.0,29937.595,196883.713,52126.636000000006,99321.0,9336.174,38437.227,61876.983,Uttar Pradesh
Ballia,629381.0,564927.0,48018.795000000006,262691.055,94342.809,64454.0,4253.964,21656.544,40219.296,Uttar Pradesh
Jaunpur,1006670.0,926088.0,83347.92,447300.50399999996,155582.784,80582.0,3867.936,30137.668,52055.971999999994,Uttar Pradesh
Ghazipur,761640.0,700173.0,70717.473,330481.656,123230.44800000002,61467.0,4179.756,27106.947,39031.545,Uttar Pradesh
Chandauli,395759.0,344937.0,44151.936,164534.94900000002,76576.014,50822.0,4726.446000000001,18346.742,31001.42,Uttar Pradesh
Varanasi,755064.0,438935.0,31603.320000000003,202349.035,67595.99,316129.0,13909.676000000001,140677.405,226980.622,Uttar Pradesh
Sant Ravidas Nagar (Bhadohi),339507.0,293510.0,30525.04,150277.12,54592.86000000001,45997.0,3357.781,17662.848,30128.035,Uttar Pradesh
Mirzapur,543115.0,465152.0,31630.336000000003,227924.47999999998,87448.576,77963.0,3586.298,28690.384,53950.39600000001,Uttar Pradesh
Sonbhadra,428088.0,337048.0,22582.216,160434.848,91340.008,91040.0,3186.4,32592.32,81025.6,Uttar Pradesh
Etah,401998.0,334246.0,20723.252,159435.342,42114.996,67752.0,3861.864,29810.88,37670.112,Uttar Pradesh
Kanshiram Nagar,343724.0,271234.0,13019.232,139956.744,52076.928,72490.0,2537.15,29503.43,49655.65,Uttar Pradesh
Pashchim Champaran,936134.0,839514.0,15111.252000000002,468448.812,115013.41799999999,96620.0,4541.14,33237.28,68310.34000000001,Bihar
Purba Champaran,1243825.0,1142260.0,79958.20000000001,646519.16,105087.92,101565.0,3148.515,44079.21,79525.39499999999,Bihar
Sheohar,166000.0,158484.0,14105.076000000001,97467.66,17750.208,7516.0,330.704,3765.516,5779.804,Bihar
