District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise
Chandauli,344937,44151.936,164534.949,76576.014,50822,4726.446,18346.742,31001.42
Varanasi,438935,31603.32,202349.035,67595.99,316129,13909.676,140677.405,226980.622
Sant Ravidas Nagar (Bhadohi),293510,30525.04,150277.12,54592.86,45997,3357.781,17662.848,30128.035
Mirzapur,465152,31630.336,227924.48,87448.576,77963,3586.298,28690.384,53950.396
Sonbhadra,337048,22582.216,160434.848,91340.008,91040,3186.4,32592.32,81025.6
Etah,334246,20723.252,159435.342,42114.996,67752,3861.864,29810.88,37670.112
Kanshiram Nagar,271234,13019.232,139956.744,52076.928,72490,2537.15,29503.43,49655.65
Pashchim Champaran,839514,15111.252,468448.812,115013.418,96620,4541.14,33237.28,68310.34
Purba Champaran,1142260,79958.2,646519.16,105087.92,101565,3148.515,44079.21,79525.395
Sheohar,158484,14105.076,97467.66,17750.208,7516,330.704,3765.516,5779.804
Sitamarhi,807294,39557.406,511017.102,92838.81,49670,3675.58,25778.73,26772.13
Madhubani,1047552,58662.912,586629.12,162370.56,41234,2350.338,17689.386,22266.36
Supaul,572287,19457.758,341083.052,113312.826,27815,2225.2,12516.75,10263.735
Araria,659061,40861.782,386868.807,123244.407,44213,2873.845,18481.034,26748.865
Kishanganj,401793,18884.271,204110.844,69510.189,43357,3078.347,18513.439,24063.135
Purnia,712847,34929.503,442677.987,64869.077,85749,6688.422,44417.982,40130.532
Katihar,668232,24724.584,430341.408,44771.544,69838,4469.632,33871.43,37922.034
Madhepura,486278,17019.73,302464.916,30149.236,24000,1896,11136,12456
Saharsa,432651,22065.201,281655.801,37207.986,38046,3690.462,17539.206,22485.186
Darbhanga,907174,45358.7,562447.88,115211.098,95539,6783.269,40412.997,65444.215
Muzaffarpur,998694,61919.028,639164.16,112852.422,120700,10500.9,55401.3,61919.1
Gopalganj,515925,34051.05,331739.775,64490.625,38133,2821.842,16435.323,25777.908
Siwan,632514,51233.634,333967.392,132195.426,41858,3767.22,16743.2,28044.86
Saran,701323,58911.132,423599.092,153589.737,76299,5188.332,27620.238,58826.529
