,State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households_Rural,Households_Urban,Households,Young_and_Adult,Middle_Aged,Senior_Citizen,Age_Not_Started
126,Rajasthan,Kota,1951014,1021161,929853,1298345,765396,532949,203454,311735,515189,1177474,495896,275396,2248
127,Rajasthan,Baran,1222755,633945,588810,693307,432607,260700,249184,69804,318988,762204,286344,173100,1107
128,Rajasthan,Jhalawar,1411129,725143,685986,739792,466815,272977,298624,63763,362387,850546,346110,213674,799
129,Rajasthan,Udaipur,3068420,1566801,1501619,1582629,973444,609185,665449,182769,848218,1876436,739287,451034,1663
130,Rajasthan,Pratapgarh,867848,437744,430104,401515,250122,151393,209813,24269,234082,545987,204801,115608,1452
131,Uttar Pradesh,Saharanpur,3466382,1834106,1632276,2077108,1220114,856994,605082,284156,889238,2228689,769736,433862,34095
132,Uttar Pradesh,Muzaffarnagar,4143512,2193434,1950078,2417339,1448528,968811,673746,296104,969850,2671757,911621,544283,15851
133,Uttar Pradesh,Bijnor,3682713,1921215,1761498,2135393,1241471,893922,683875,224648,908523,2404576,786305,450186,41646
134,Uttar Pradesh,Moradabad,4772006,2503186,2268820,2263848,1357435,906413,692398,355518,1047916,3168270,988486,525574,89676
135,Uttar Pradesh,Rampur,2335819,1223889,1111930,1043666,630408,413258,396775,143217,539992,1576123,491164,258913,9619
136,Uttar Pradesh,Jyotiba Phule Nagar,1840221,963449,876772,983110,600541,382569,335888,115486,451374,1227283,391275,215849,5814
137,Uttar Pradesh,Meerut,3443689,1825743,1617946,2141488,1254520,886968,381520,422303,803823,2165117,780475,451827,46270
138,Uttar Pradesh,Baghpat,1303048,700070,602978,797970,489858,308112,246055,69991,316046,817140,283276,194548,8084
139,Uttar Pradesh,Ghaziabad,4681645,2488834,2192811,3123264,1811397,1311867,355407,836316,1191723,2891069,1139871,559963,90742
140,Uttar Pradesh,Gautam Buddha Nagar,1648115,890214,757901,1122947,666065,456882,170835,338935,509770,1015648,402967,188862,40638
